"","State.Name","City.Name","County.Name","Latitude","Longitude","Parameter.Name","Units.of.Measure","Metric.Used","Sample.Duration","Arithmetic.Mean"
"39","Connecticut","Waterbury","New Haven",41.550556,-73.043611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.404918
"40","Connecticut","Waterbury","New Haven",41.550556,-73.043611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.404918
"41","Connecticut","Madison (Town of)","New Haven",41.256788,-72.55327,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.049292
"42","Connecticut","Groton","New London",41.35362,-72.07882,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.046686
"43","Connecticut","Norwich","New London",41.524167,-72.076667,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.51
"44","Connecticut","Norwich","New London",41.524167,-72.076667,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.51
"45","Connecticut","Stafford (Stafford Hollow)","Tolland",41.976389,-72.388056,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.046105
"46","Connecticut","","Windham",41.84046,-72.010368,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043369
"47","Massachusetts","Truro","Barnstable",41.975804,-70.023598,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041459
"48","Massachusetts","Adams","Berkshire",42.63668,-73.167428,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043711
"49","Massachusetts","Pittsfield","Berkshire",42.448009,-73.254108,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.418182
"50","Massachusetts","Pittsfield","Berkshire",42.448009,-73.254108,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.418182
"51","Massachusetts","Fall River","Bristol",41.685707,-71.169235,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044337
"52","Massachusetts","Fall River","Bristol",41.685707,-71.169235,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.837931
"53","Massachusetts","Fall River","Bristol",41.685707,-71.169235,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.837931
"54","Massachusetts","Fairhaven (Town of)","Bristol",41.645381,-70.897504,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041309
"55","Massachusetts","Aquinnah","Dukes",41.330469,-70.785225,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041983
"56","Massachusetts","Lynn","Essex",42.474642,-70.970816,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",7.222008
"57","Massachusetts","Lynn","Essex",42.474642,-70.970816,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043706
"58","Massachusetts","Lynn","Essex",42.474642,-70.970816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.206723
"59","Massachusetts","Lynn","Essex",42.474642,-70.970816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.206723
"60","Massachusetts","Newburyport","Essex",42.814412,-70.817783,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",4.169304
"61","Massachusetts","Newburyport","Essex",42.814412,-70.817783,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042517
"62","Massachusetts","Haverhill","Essex",42.770837,-71.10229,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.040503
"63","Massachusetts","Haverhill","Essex",42.770837,-71.10229,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.304274
"64","Massachusetts","Haverhill","Essex",42.770837,-71.10229,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.304274
"65","Massachusetts","Lawrence","Essex",42.698215,-71.164413,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.72541
"66","Massachusetts","Lawrence","Essex",42.698215,-71.164413,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.72541
"67","Massachusetts","Chicopee","Hampden",42.19438,-72.555112,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",6.83484
"68","Massachusetts","Chicopee","Hampden",42.19438,-72.555112,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042588
"69","Massachusetts","Chicopee","Hampden",42.19438,-72.555112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.82459
"70","Massachusetts","Chicopee","Hampden",42.19438,-72.555112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.82459
"71","Massachusetts","Chicopee","Hampden",42.19438,-72.555112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.833636
"72","Massachusetts","Chicopee","Hampden",42.19438,-72.555112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.833636
"73","Massachusetts","Springfield","Hampden",42.108992,-72.590803,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",13.576489
"74","Massachusetts","Springfield","Hampden",42.108992,-72.590803,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.930328
"75","Massachusetts","Springfield","Hampden",42.108992,-72.590803,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.930328
"76","Massachusetts","Springfield","Hampden",42.105792,-72.597133,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)","Daily Mean","24 HOUR",13.561404
"77","Massachusetts","Springfield","Hampden",42.105792,-72.597133,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.564407
"78","Massachusetts","Springfield","Hampden",42.105792,-72.597133,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.564407
"79","Massachusetts","North Amherst","Hampshire",42.400579,-72.523109,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.037483
"80","Massachusetts","Ware (census name for Ware Center)","Hampshire",42.298493,-72.334079,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",3.191477
"81","Massachusetts","Ware (census name for Ware Center)","Hampshire",42.298493,-72.334079,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041754
"82","Massachusetts","Ware (census name for Ware Center)","Hampshire",42.298493,-72.334079,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)","Daily Mean","24 HOUR",8.35
"83","Massachusetts","Chelmsford (Chelmsford Center)","Middlesex",42.62668,-71.362068,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042415
"84","Massachusetts","Milton","Norfolk",42.211774,-71.11397,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",4.078935
"85","Massachusetts","Milton","Norfolk",42.211774,-71.11397,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043017
"86","Massachusetts","Brockton","Plymouth",42.081936,-71.014739,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.636842
"87","Massachusetts","Brockton","Plymouth",42.081936,-71.014739,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.636842
"88","Massachusetts","Brockton","Plymouth",42.081936,-71.014739,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.592308
"89","Massachusetts","Brockton","Plymouth",42.081936,-71.014739,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.592308
"90","Massachusetts","Brockton","Plymouth",42.065106,-71.012129,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.33
"91","Massachusetts","Brockton","Plymouth",42.065106,-71.012129,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.33
"92","Massachusetts","Boston","Suffolk",42.348873,-71.097163,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",17.775806
"93","Massachusetts","Boston","Suffolk",42.348873,-71.097163,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)","Daily Mean","24 HOUR",18.945455
"94","Massachusetts","Boston","Suffolk",42.348873,-71.097163,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.95812
"95","Massachusetts","Boston","Suffolk",42.348873,-71.097163,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.95812
"96","Massachusetts","Boston","Suffolk",42.372122,-71.061741,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)","Daily Mean","24 HOUR",17.931034
"97","Massachusetts","Boston","Suffolk",42.372122,-71.061741,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.773684
"98","Massachusetts","Boston","Suffolk",42.372122,-71.061741,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.773684
"99","Massachusetts","Boston","Suffolk",42.340251,-71.03835,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",12.227733
"100","Massachusetts","Boston","Suffolk",42.317372,-70.968359,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",6.572224
"101","Massachusetts","Boston","Suffolk",42.317372,-70.968359,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042431
"102","Massachusetts","Boston","Suffolk",42.3295,-71.0826,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",17.437142
"103","Massachusetts","Boston","Suffolk",42.3295,-71.0826,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.034274
"104","Massachusetts","Boston","Suffolk",42.3295,-71.0826,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)","Daily Mean","24 HOUR",14.9
"105","Massachusetts","Boston","Suffolk",42.3295,-71.0826,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)","Daily Mean","24 HOUR",15
"106","Massachusetts","Boston","Suffolk",42.3295,-71.0826,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)","Daily Mean","24 HOUR",15.169492
"107","Massachusetts","Boston","Suffolk",42.3295,-71.0826,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)","Daily Mean","24 HOUR",14.86087
"108","Massachusetts","Boston","Suffolk",42.3295,-71.0826,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.345763
"109","Massachusetts","Boston","Suffolk",42.3295,-71.0826,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.345763
"110","Massachusetts","Boston","Suffolk",42.3631,-71.0543,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.796542
"111","Massachusetts","Boston","Suffolk",42.3631,-71.0543,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.796542
"112","Massachusetts","Boston","Suffolk",42.3631,-71.0543,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.650769
"113","Massachusetts","Boston","Suffolk",42.3631,-71.0543,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.650769
"114","Massachusetts","Boston","Suffolk",42.325186,-71.056061,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",17.297868
"115","Massachusetts","Boston","Suffolk",42.325186,-71.056061,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.822581
"116","Massachusetts","Boston","Suffolk",42.325186,-71.056061,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.822581
"117","Massachusetts","Worcester","Worcester",42.274319,-71.875511,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042148
"118","Massachusetts","Worcester","Worcester",42.260102,-71.798375,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.676364
"119","Massachusetts","Worcester","Worcester",42.260102,-71.798375,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.676364
"120","Massachusetts","Worcester","Worcester",42.263955,-71.794322,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",11.803712
"121","Massachusetts","Worcester","Worcester",42.263955,-71.794322,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)","Daily Mean","24 HOUR",18.166667
"122","Massachusetts","Worcester","Worcester",42.263955,-71.794322,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.196694
"123","Massachusetts","Worcester","Worcester",42.263955,-71.794322,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.196694
"124","Massachusetts","Uxbridge","Worcester",42.099699,-71.619399,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.040994
"125","New York","Albany","Albany",42.64225,-73.75464,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.152679
"126","New York","Albany","Albany",42.64225,-73.75464,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.152679
"127","New York","Albany","Albany",42.64225,-73.75464,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.809821
"128","New York","Albany","Albany",42.64225,-73.75464,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.809821
"129","New York","Albany","Albany",42.68075,-73.75733,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041423
"130","New York","Albany","Albany",42.68075,-73.75733,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.427184
"131","New York","Albany","Albany",42.68075,-73.75733,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.427184
"132","New York","New York","Bronx",40.816,-73.902,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",20.669967
"133","New York","New York","Bronx",40.816,-73.902,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039045
"134","New York","New York","Bronx",40.816,-73.902,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.959836
"135","New York","New York","Bronx",40.816,-73.902,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.959836
"136","New York","New York","Bronx",40.8679,-73.87809,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",18.371319
"137","New York","New York","Bronx",40.8679,-73.87809,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.040584
"138","New York","New York","Bronx",40.8679,-73.87809,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",9.136667
"139","New York","New York","Bronx",40.8679,-73.87809,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",9.136667
"140","New York","Dunkirk","Chautauqua",42.49963,-79.31881,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043766
"141","New York","Dunkirk","Chautauqua",42.49963,-79.31881,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.422078
"142","New York","Dunkirk","Chautauqua",42.49963,-79.31881,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.422078
"143","New York","Westfield","Chautauqua",42.29071,-79.58961,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",4.4875
"144","New York","Westfield","Chautauqua",42.29071,-79.58961,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",4.4875
"145","New York","Millbrook","Dutchess",41.78555,-73.74136,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039825
"146","New York","Amherst","Erie",42.99328,-78.77153,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044556
"147","New York","Amherst","Erie",42.99328,-78.77153,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.332353
"148","New York","Amherst","Erie",42.99328,-78.77153,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.332353
"149","New York","Buffalo","Erie",42.876907,-78.809526,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",10.379981
"150","New York","Buffalo","Erie",42.876907,-78.809526,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.07069
"151","New York","Buffalo","Erie",42.876907,-78.809526,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.07069
"152","New York","","Essex",44.36608,-73.90312,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039792
"153","New York","","Essex",44.39308,-73.8589,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039946
"154","New York","","Essex",44.39308,-73.8589,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",4.344068
"155","New York","","Essex",44.39308,-73.8589,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",4.344068
"156","New York","","Essex",43.9731,-74.2232,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.035
"157","New York","","Franklin",44.980577,-74.695005,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",3.633631
"158","New York","","Franklin",44.980577,-74.695005,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.033941
"159","New York","","Franklin",44.980577,-74.695005,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.035047
"160","New York","","Hamilton",43.44957,-74.51625,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039464
"161","New York","","Herkimer",43.68578,-74.98538,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.036682
"162","New York","","Jefferson",44.08747,-75.97316,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039127
"163","New York","New York","Kings",40.71961,-73.94771,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",9.215789
"164","New York","New York","Kings",40.71961,-73.94771,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",9.215789
"165","New York","Rochester","Monroe",43.14618,-77.54817,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039812
"166","New York","Rochester","Monroe",43.14618,-77.54817,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.195726
