"","State.Name","City.Name","County.Name","Latitude","Longitude","Parameter.Name","Units.of.Measure","Metric.Used","Sample.Duration","Arithmetic.Mean"
"39","Massachusetts","Springfield","Hampden",42.108992,-72.590803,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.930328
"40","Massachusetts","Springfield","Hampden",42.108992,-72.590803,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.930328
"41","Massachusetts","Springfield","Hampden",42.105792,-72.597133,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.564407
"42","Massachusetts","Springfield","Hampden",42.105792,-72.597133,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.564407
"43","Massachusetts","Brockton","Plymouth",42.081936,-71.014739,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.636842
"44","Massachusetts","Brockton","Plymouth",42.081936,-71.014739,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.636842
"45","Massachusetts","Brockton","Plymouth",42.081936,-71.014739,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.592308
"46","Massachusetts","Brockton","Plymouth",42.081936,-71.014739,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.592308
"47","Massachusetts","Brockton","Plymouth",42.065106,-71.012129,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.33
"48","Massachusetts","Brockton","Plymouth",42.065106,-71.012129,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.33
"49","Massachusetts","Boston","Suffolk",42.348873,-71.097163,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.95812
"50","Massachusetts","Boston","Suffolk",42.348873,-71.097163,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.95812
"51","Massachusetts","Boston","Suffolk",42.372122,-71.061741,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.773684
"52","Massachusetts","Boston","Suffolk",42.372122,-71.061741,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.773684
"53","Massachusetts","Boston","Suffolk",42.3295,-71.0826,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.345763
"54","Massachusetts","Boston","Suffolk",42.3295,-71.0826,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.345763
"55","Massachusetts","Boston","Suffolk",42.3631,-71.0543,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.796542
"56","Massachusetts","Boston","Suffolk",42.3631,-71.0543,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.796542
"57","Massachusetts","Boston","Suffolk",42.3631,-71.0543,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.650769
"58","Massachusetts","Boston","Suffolk",42.3631,-71.0543,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.650769
"59","Massachusetts","Boston","Suffolk",42.325186,-71.056061,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.822581
"60","Massachusetts","Boston","Suffolk",42.325186,-71.056061,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.822581
"61","Massachusetts","Worcester","Worcester",42.260102,-71.798375,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.676364
"62","Massachusetts","Worcester","Worcester",42.260102,-71.798375,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",6.676364
"63","Massachusetts","Worcester","Worcester",42.263955,-71.794322,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.196694
"64","Massachusetts","Worcester","Worcester",42.263955,-71.794322,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.196694
