"","State.Name","City.Name","County.Name","Latitude","Longitude","Parameter.Name","Units.of.Measure","Metric.Used","Sample.Duration","Arithmetic.Mean"
"17","Massachusetts","Aquinnah","Dukes",41.330469,-70.785225,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041983
"18","Massachusetts","Lynn","Essex",42.474642,-70.970816,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043706
"19","Massachusetts","Newburyport","Essex",42.814412,-70.817783,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042517
"20","Massachusetts","Haverhill","Essex",42.770837,-71.10229,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.040503
"21","Massachusetts","Chicopee","Hampden",42.19438,-72.555112,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042588
"22","Massachusetts","North Amherst","Hampshire",42.400579,-72.523109,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.037483
"23","Massachusetts","Ware (census name for Ware Center)","Hampshire",42.298493,-72.334079,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041754
"24","Massachusetts","Chelmsford (Chelmsford Center)","Middlesex",42.62668,-71.362068,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042415
"25","Massachusetts","Milton","Norfolk",42.211774,-71.11397,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043017
"26","Massachusetts","Boston","Suffolk",42.317372,-70.968359,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042431
"27","Massachusetts","Boston","Suffolk",42.3295,-71.0826,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.034274
"28","Massachusetts","Worcester","Worcester",42.274319,-71.875511,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042148
"29","Massachusetts","Uxbridge","Worcester",42.099699,-71.619399,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.040994
