"","State.Name","City.Name","County.Name","Latitude","Longitude","Parameter.Name","Units.of.Measure","Metric.Used","Sample.Duration","Arithmetic.Mean"
"105","Pennsylvania","","Perry",40.456944,-77.165556,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043636
"106","Pennsylvania","Philadelphia","Philadelphia",40.008889,-75.09778,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.028729
"107","Pennsylvania","Philadelphia","Philadelphia",40.076389,-75.011944,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.0448
"108","Pennsylvania","Philadelphia","Philadelphia",39.991389,-75.080833,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.027077
"109","Pennsylvania","Philadelphia","Philadelphia",40.035985,-75.002405,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.047273
"110","Pennsylvania","","Somerset",39.9878,-79.2515,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041168
"111","Pennsylvania","","Tioga",41.644722,-76.939167,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044187
"112","Pennsylvania","Charleroi","Washington",40.146667,-79.902222,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043652
"113","Pennsylvania","Washington","Washington",40.170556,-80.261389,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042448
"114","Pennsylvania","","Washington",40.445278,-80.420833,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.045009
"115","Pennsylvania","","Washington",40.268963,-80.243995,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041174
"116","Pennsylvania","Municipality of Murrysville (corp for Murrysville)","Westmoreland",40.428076,-79.692811,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.040601
"117","Pennsylvania","Greensburg","Westmoreland",40.304694,-79.505667,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043628
"118","Pennsylvania","York","York",39.965278,-76.699444,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.045611
"119","Pennsylvania","","York",39.86097,-76.462055,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.046019
"120","Vermont","Bennington","Bennington",42.88759,-73.24984,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.040275
"121","Vermont","Underhill (Town of)","Chittenden",44.52839,-72.86884,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.038576
